               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,             0.01431,           0.0059789,                   0,              0.9996,             0.99973,             0.99927,             0.74833,            0.017916,           0.0079728,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,            0.014331,           0.0059841,                   0,             0.99959,             0.99972,             0.99926,             0.74852,            0.017913,           0.0079688,                   0,           0.0060419,           0.0060419,           0.0060419
                 151,            0.014303,           0.0059489,                   0,             0.99954,             0.99976,             0.99925,              0.7483,             0.01791,           0.0079738,                   0,               0.006,               0.006,               0.006
                 152,            0.014295,           0.0059753,                   0,             0.99955,             0.99976,             0.99926,             0.74828,            0.017916,           0.0079764,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.014276,           0.0059507,                   0,              0.9996,             0.99973,             0.99932,              0.7485,             0.01791,           0.0079726,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.014259,           0.0059668,                   0,              0.9996,             0.99978,             0.99934,             0.74894,            0.017895,           0.0079676,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.014277,           0.0059756,                   0,             0.99959,             0.99978,             0.99931,             0.74918,            0.017888,           0.0079641,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,             0.01426,           0.0059556,                   0,             0.99952,             0.99978,             0.99928,             0.74902,            0.017895,           0.0079683,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,             0.01424,           0.0059451,                   0,             0.99958,             0.99973,             0.99929,             0.74903,            0.017894,           0.0079721,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,            0.014231,           0.0059421,                   0,             0.99955,             0.99974,             0.99932,             0.74956,             0.01789,           0.0079719,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.014212,           0.0059396,                   0,             0.99958,             0.99978,             0.99935,             0.74948,            0.017881,           0.0079729,                   0,           0.0056653,           0.0056653,           0.0056653
                 160,            0.014232,           0.0059367,                   0,             0.99966,             0.99975,             0.99939,             0.74945,             0.01788,           0.0079729,                   0,           0.0056236,           0.0056236,           0.0056236
                 161,            0.014216,           0.0059509,                   0,             0.99963,             0.99976,             0.99943,             0.74893,            0.017896,           0.0079786,                   0,           0.0055819,           0.0055819,           0.0055819
