               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.016772,           0.0050016,                   0,             0.99963,             0.99979,             0.99869,             0.74053,            0.018709,           0.0053724,                   0,           0.0061675,           0.0061675,           0.0061675
                 148,            0.016689,           0.0049903,                   0,             0.99958,             0.99985,             0.99867,             0.74016,            0.018714,           0.0053731,                   0,           0.0061256,           0.0061256,           0.0061256
                 149,            0.016705,           0.0049915,                   0,             0.99963,             0.99984,             0.99866,             0.74061,            0.018698,           0.0053707,                   0,           0.0060838,           0.0060838,           0.0060838
                 150,            0.016733,           0.0049939,                   0,             0.99962,             0.99984,             0.99866,             0.74035,            0.018711,           0.0053732,                   0,           0.0060419,           0.0060419,           0.0060419
                 151,            0.016694,            0.004993,                   0,             0.99965,             0.99982,             0.99866,             0.74084,            0.018712,           0.0053745,                   0,               0.006,               0.006,               0.006
                 152,            0.016721,           0.0049906,                   0,             0.99967,             0.99982,              0.9987,              0.7402,            0.018709,           0.0053739,                   0,           0.0059581,           0.0059581,           0.0059581
                 153,            0.016652,            0.004971,                   0,             0.99961,             0.99984,             0.99867,             0.73992,             0.01871,           0.0053735,                   0,           0.0059162,           0.0059162,           0.0059162
                 154,            0.016649,           0.0049903,                   0,             0.99964,             0.99981,             0.99867,             0.73994,            0.018716,            0.005376,                   0,           0.0058744,           0.0058744,           0.0058744
                 155,            0.016663,           0.0049873,                   0,              0.9996,             0.99986,             0.99875,             0.74019,             0.01872,           0.0053747,                   0,           0.0058325,           0.0058325,           0.0058325
                 156,            0.016647,            0.004973,                   0,             0.99964,              0.9998,             0.99877,             0.74016,            0.018708,           0.0053728,                   0,           0.0057907,           0.0057907,           0.0057907
                 157,            0.016622,           0.0049734,                   0,             0.99961,             0.99986,             0.99876,             0.74041,            0.018702,           0.0053704,                   0,           0.0057488,           0.0057488,           0.0057488
                 158,            0.016652,           0.0049716,                   0,             0.99962,             0.99986,             0.99873,             0.74015,             0.01871,           0.0053723,                   0,            0.005707,            0.005707,            0.005707
                 159,            0.016616,            0.004962,                   0,             0.99968,             0.99984,             0.99874,             0.74053,            0.018697,           0.0053688,                   0,           0.0056653,           0.0056653,           0.0056653
                 160,            0.016602,           0.0049595,                   0,             0.99968,             0.99987,             0.99869,             0.74089,            0.018692,            0.005367,                   0,           0.0056236,           0.0056236,           0.0056236
                 161,            0.016608,           0.0049696,                   0,             0.99967,             0.99986,             0.99869,             0.74129,            0.018695,           0.0053696,                   0,           0.0055819,           0.0055819,           0.0055819
